frame_id,timestamp,qw,qx,qy,qz,wx_radDs,wy_radDs,wz_radDs,ax_mDs2,ay_mDs2,az_mDs2,system_time_s,roll,pitch,yaw,roll_filtered,pitch_filtered,yaw_filtered
0,2026126609,0.9944555222222222,-0.0386201124444444,0.0963789644444444,-0.0164575615555555,0.0591992525,-0.11281867,-0.022403693,2.018621,-0.6857863,-8.26015,2015.12478275,-4.673389517470793,10.977256447381288,-0.0458141715799378,-1.476648967176704,3.473539122419173,-0.0037090967601467
1,2026161493,0.9948506333333332,-0.0386402546666666,0.0919110616666666,-0.0177710243333333,-0.018417938,-0.40078443,-0.08537636,1.767867642857143,-0.7388322642857144,-7.315160714285715,2015.1568339679488,-4.675039033294777,10.457437040822406,-0.1750605056617797,-4.1969722418557085,9.715348696891692,-0.0725709213421284
2,2026188993,0.995384525,-0.03848805325,0.0854807575,-0.019409099,0.028376171,-0.582675,-0.11031546,1.356409375,-0.82900656875,-5.797815625,2015.1888851858976,-4.652075235053657,9.711425643363231,-0.3298340273234093,-4.2314691616910505,9.327217160948685,-0.1926442042247998
3,2026221639,0.9961265875,-0.038077336375,0.07610685125,-0.0215340915,0.08643885,-0.617605975,-0.118543962,0.8378145,-0.9439331,-3.8989,2015.2209364038465,-4.591153384905513,8.626236315648649,-0.5235547527563469,-3.656980369291855,7.262890028675238,-0.3413176645178024
4,2026251493,0.9967798,-0.0364476084285714,0.0671357122857142,-0.0235144648571428,0.1363434,-0.55021495,-0.091682985,0.6567701666666667,-0.9737041555555556,-2.858279611111111,2015.252987621795,-4.3869307494390455,7.592719165133714,-0.6942723634863834,-3.187078231138896,5.438729898370575,-0.4945701116902403
5,2026278991,0.9973107157894736,-0.0346356031578947,0.0593112410526315,-0.025065364,0.17082027,-0.4756235,-0.056740217,0.70500666,-0.9989035733333332,-1.90786206,2015.285038839744,-4.160735328797176,6.694197218835606,-0.8231311450143579,-2.688138330647957,3.9216188174221065,-0.6145717075551295
6,2026313991,0.997691505263158,-0.0330073110526315,0.0530557336842105,-0.026026284,0.08778618,-0.40349638,-0.02441123,1.67036646,-1.0058164399999998,-1.31825586,2015.3170900576924,-3.956623423808503,5.978283539916874,-0.8955714086961759,-2.2011181186922784,2.695117341683274,-0.6653194325734545
7,2026341493,0.998004196875,-0.0321445665625,0.04718031625,-0.0266784071249999,0.004803345,-0.36877713,-0.000600116,2.6614518375,-0.99369115,-0.58984460375,2015.3491412756407,-3.8397526276850176,5.305070933993022,-0.9407293884385322,-1.76821926033177,1.6708608071209932,-0.6703719717562915
8,2026373992,0.998248790625,-0.0320473696875,0.04168498875,-0.027021733375,-0.022530152,-0.3382268,0.02075105,3.64667241875,-0.98432229375,0.14307755,2015.3811924935897,-3.810492939508676,4.674353828325996,-0.956984410842634,-1.4687180067961334,0.7727065413539541,-0.6390174726225768
9,2026406492,0.998303203125,-0.0358255407499999,0.0368174855,-0.0269466215,-0.32226208,-0.31412512,0.021498099,4.47988260625,-1.07319423125,0.38120685,2015.4132437115384,-4.226799253036944,4.104805724672088,-0.9441633655092688,-1.3597841212209445,-0.0215756759266647,-0.583653723937815
10,2026433991,0.99834228,-0.0395900213999999,0.0319311708,-0.026715124,-0.39261612,-0.31151548,0.027430769,5.076821857894736,-0.9343951578947368,0.8731015789473684,2015.4452949294875,-4.640857771867063,3.5340619063920715,-0.9091975062357744,-1.5580839670858544,-0.7133279197198501,-0.509014603188252
11,2026468991,0.99839488,-0.0423178327333333,0.0268381934666666,-0.0262272106666666,0.05738754,-0.32106444,0.058681436,5.4374901736842105,-0.5679250736842105,1.6187617368421052,2015.477346147436,-4.934792105130921,2.944633001881299,-0.8367392660733639,-1.725388947966946,-1.352908078883534,-0.4072669177695878
12,2026493991,0.9985109578947368,-0.0422852581578947,0.0225872097894736,-0.0257425366315789,0.16520861,-0.32109058,0.063590616,5.54053226,-0.653273344,2.01912924,2015.5084525202312,-4.915575612693358,2.4605061702952806,-0.7595183455740373,-1.713318911686122,-1.9300215527222504,-0.287084337170083
13,2026523996,0.998642905263158,-0.0415625871052631,0.0185467245263157,-0.0252586724210526,-0.14371157,-0.28637192,0.04133926,5.4833348312500005,-0.99007586875,2.14336716875,2015.537354254336,-4.818571853732864,2.002527336109692,-0.682278723336784,-1.4361177387381523,-2.374759022039998,-0.1706000215703819
14,2026556493,0.99829998125,-0.0497191325,0.01522006325,-0.025183752875,-0.69150424,-0.21904391,0.0049338336,5.52973914375,-0.87905655625,1.85419485625,2015.56625598844,-5.74381556508926,1.597945918154971,-0.6705831332016285,-1.360218849418018,-2.736377967023857,-0.0806944466003689
15,2026583991,0.9979151928571428,-0.0580035484285714,0.0123237602142857,-0.0251905814285714,-0.7638589,-0.1698855,-0.015154475,5.428869994444444,-0.38327915,2.4255061444444443,2015.5951577225435,-6.685255750034959,1.2419352189279418,-0.6648520164363778,-1.9947169962295352,-3.0252962853290737,-0.0412178894079858
16,2026618991,0.9975558357142856,-0.0642843098571428,0.0102465609285714,-0.0252821328571428,0.17288847,-0.118490405,0.03007598,5.180727383333334,0.49725635,3.8573010333333335,2015.6240594566475,-7.399807065768091,0.9851143857485928,-0.6675683107832202,-2.601663325302665,-3.205556081457561,-0.0193118721825509
17,2026646493,0.9983361526315788,-0.048378317368421,0.0086895251421052,-0.0245342937368421,1.3474052,-0.089267924,0.10197137,4.961856306666666,0.1902725706666665,4.664349733333333,2015.6529611907515,-5.570053672877965,0.858373192317935,-0.5575673028546086,-2.3312684818262723,-3.265254341950204,0.0268961217994036
